mmsi,vessel_name,imo,ship_type
671087100,WATER SPIRIT 2,IMO9212424,70.0
366938780,JOHN J BOLAND,IMO7318901,70.0
366930730,AMERICAN SPIRIT,IMO7423392,70.0
367585560,HENRY ISLAND,,70.0
636017730,CHIQUITA VENTURE,IMO9357080,79.0
367180560,CAPT LUKE C,,70.0
354739000,CARMEL,IMO9805312,70.0
636020988,FANTASEA,IMO9342827,70.0
368270390,GO SEEKER,IMO9579157,70.0
369286000,HARVEY EXPLORER,IMO9270127,70.0
431080000,ONE BLUE JAY,IMO9741372,70.0
351137000,CENTURY QUEEN,IMO9831531,70.0
538005697,INTERLINK FORTUITY,IMO9711755,70.0
477307900,SEASPAN BENEFACTOR,IMO9739666,71.0
477914600,SAGA FALCON,IMO9613848,70.0
316013980,RADCLIFFE R LATIMER,IMO7711725,70.0
338141134,ISLAND TRANSPORTER,,70.0
316052496,NORTHERN VENTURE,IMO9167681,70.0
255806356,UHL FIERCE,IMO9892509,70.0
477714700,DARYA HEERA,IMO9909077,70.0
636016895,ALE,IMO9303754,70.0
305236000,HOHEPLATE,IMO9366237,71.0
538008507,AMEMPTOS,IMO9867140,70.0
212557000,PROTOSTAR N,IMO9360257,70.0
367120990,AMERICAN INTEGRITY,IMO7514696,70.0
366971330,EDGAR B SPEER,IMO7625952,79.0
352002049,KARO T,IMO9942108,70.0
316047565,SEASPAN TRADER,IMO9886392,79.0
563050400,MONTE ALEGRE,IMO9348065,70.0
538006864,DSI AQUARIUS,IMO9749269,70.0
311000415,DOLE ATLANTIC,IMO9703069,70.0
367511590,DEFIANCE,IMO8109761,70.0
368042000,ODYSSEA SPIRIT,IMO9204570,70.0
431188000,JUNO AVENIR,IMO9899399,70.0
371919000,MENELAOS,IMO9696436,70.0
367486370,NRC QUEST,IMO9271195,70.0
316048574,SEASPAN TRANSPORTER,IMO9886407,70.0
210411000,SPIKE,IMO9976628,70.0
636093293,NHAVA SHEVA EXPRESS,IMO9406738,70.0
367073150,ABIGAIL CLAIRE,IMO9372224,70.0
247341300,GRANDE TEMA,IMO9672090,70.0
367387930,ODYSSEA DEFENDER,IMO9535072,79.0
368253470,HOS RUNNING BUCK,IMO9645633,79.0
256402000,SATURNIA,IMO9725380,70.0
373485000,ONE HOUSTON,IMO9566382,70.0
311000716,ARIANA,IMO9828297,70.0
538009245,FEDERAL FRASER,IMO9866744,70.0
372610000,LUNA SPIRIT,IMO9372315,70.0
367777470,NUNANIQ,,70.0
369638000,IPANEMA,IMO9499929,70.0
477195600,MOUNT HIKURANGI,IMO9580039,70.0
316036229,ALGOMA COMPASS,IMO7326245,70.0
368149440,CORREGIDOR,,79.0
215159000,CMA CGM SWORDFISH,IMO9331000,70.0
636016430,MSC JULIA R,IMO9227338,79.0
316014050,ALGOMA MARINER,IMO9587893,70.0
368231430,DELAWARE,,70.0
367341010,MANITOWOC,IMO7366398,70.0
374508000,FILOTIMO,IMO9817913,70.0
255806142,ONEGO MERCHANT,IMO9238363,70.0
538006906,CHLOE,IMO9749910,70.0
351421000,ICY BAY,IMO9722467,70.0
367348220,PRESQUE ISLE,IMO7303877,79.0
369000000,LARRY T RIGDON,IMO9668166,70.0
366972020,ARTHUR M ANDERSON,IMO5025691,70.0
305140000,TUCANA J,IMO9355472,71.0
367413160,DUSTIN DANOS,IMO8964458,70.0
368224220,C TRUC NO. 7,IMO8123509,70.0
374996000,FRIO GALICIA,IMO9143752,70.0
367564890,GO QUEST,IMO8987876,70.0
366938770,H LEE WHITE,IMO7366362,70.0
538011094,MANINA,IMO9986934,70.0
538009724,CITY OF OSLO,IMO9407677,70.0
316014160,MANITOULIN,IMO8810918,70.0
441357000,K.ASIAN BEAUTY,IMO9070462,70.0
538008341,TOMINI FELICITY,IMO9831799,70.0
368304090,WENDY LOU,,70.0
368269610,HOS ROSEBUD,IMO9645619,70.0
316023341,WHITEFISH BAY,IMO9639880,70.0
367323780,MR COLBY,IMO8964575,70.0
367391920,GOL SUPPORTER,IMO9559157,70.0
209744000,PEACE,IMO9568067,70.0
374582000,PENSILVANIA,IMO9287443,79.0
209513000,JAUME II,IMO9116113,70.0
367400840,DRY TORTUGAS,IMO9585089,79.0
368186000,HARVEY CARRIER,IMO9388120,78.0
304304000,REGULA,IMO9430064,70.0
538009560,DEL MONTE GOLD,IMO9849643,70.0
372148000,LONDON HIGHWAY,IMO9362267,70.0
311015100,SUNSHINE ACE,IMO9338852,70.0
241156000,ATHINA CARRAS,IMO9592719,70.0
351225000,VERA LONDON,IMO9644055,79.0
373415000,TRAWIND DOLPHIN,IMO9562453,70.0
368269860,GO JUSTICE,IMO9558440,70.0
367411370,STARFLEET VIKING,IMO9585431,70.0
369255000,C-LEGEND,IMO9273571,70.0
477308400,SEASPAN LOGA,IMO9320001,71.0
636024021,ARIANDA,IMO9537276,70.0
636014996,YM MUTUALITY,IMO9455870,74.0
368101000,JB FOSTER,IMO9175004,70.0
636016106,ENSENADA,IMO9247546,71.0
636022841,BERGAMOT ACE,IMO9403281,70.0
316035905,ALGOMA INNOVATOR,IMO9773375,70.0
538009438,GENCO ENTERPRISE,IMO9707699,70.0
636022942,MSC GIOVANNA VII,,70.0
477025400,OOCL BAUHINIA,IMO9949716,70.0
538007994,SPRING SNOW,IMO9473274,70.0
372480000,DAIWAN GLORY,IMO9713832,70.0
352002990,CORNALIN,IMO9947263,70.0
368383090,ANNETTE ADAMS,,70.0
368205000,POINT NEMO,IMO9043914,75.0
